distance_m,altitude_m
20804.0,182.8
20828.7,184.0
20853.0,185.2
20878.3,186.4
20904.2,187.8
20928.8,188.8
20953.8,189.8
20978.5,190.6
21004.3,191.4
21028.5,192.2
21054.4,193.0
21079.7,193.8
21105.5,194.8
21130.9,195.4
21154.7,195.8
21181.4,195.8
21204.4,196.0
21230.600000000002,196.6
21257.2,196.6
21281.5,196.6
21304.0,196.6
21332.600000000002,196.6
21357.600000000002,196.6
21383.4,196.6
21404.4,196.6
21431.100000000002,196.6
21458.3,196.6
21480.2,196.6
21507.8,196.6
21530.100000000002,196.6
21558.0,196.6
21580.600000000002,196.6
21608.8,196.6
21631.5,196.6
21659.8,196.6
21682.7,196.6
21705.7,196.6
21735.2,196.4
21759.600000000002,196.4
21781.8,196.6
21808.9,196.6
21830.9,196.6
21858.600000000002,196.6
21886.4,196.6
21910.5,196.2
21935.2,196.2
21959.4,196.2
21983.100000000002,196.4
22006.600000000002,196.0
22033.3,195.2
22063.3,194.4
22087.3,194.2
22110.4,194.4
22137.600000000002,195.2
22160.0,195.8
22185.8,196.6
22210.8,197.2
22234.8,198.0
22261.100000000002,198.6
22285.4,199.2
22310.3,199.8
22335.3,200.2
22359.7,199.6
22388.7,198.6
22409.2,198.2
22439.9,197.2
22465.0,196.2
22482.7,195.8
22510.0,195.0
22538.3,194.2
22557.8,193.6
22587.100000000002,193.2
22615.4,193.2
22633.5,193.0
22659.9,193.0
22685.5,193.0
22710.100000000002,192.8
22734.0,192.8
22764.5,192.8
22786.5,192.8
22814.600000000002,193.0
22835.2,192.8
22862.2,192.8
22888.7,192.8
22914.7,192.8
22940.600000000002,192.6
22966.8,192.4
22987.0,192.2
23014.8,192.0
23036.100000000002,191.6
23065.3,191.4
23087.600000000002,191.0
23117.8,190.8
23141.0,190.4
23164.0,190.2
23187.0,190.2
23217.100000000002,190.0
23239.4,189.8
23268.600000000002,189.8
23290.3,189.6
23319.3,189.4
23341.9,188.8
23366.3,188.0
23392.0,187.6
23416.7,188.0
23439.0,188.4
23465.3,188.8
23489.8,188.8
23514.100000000002,188.8
23543.4,189.2
23568.5,189.6
23593.600000000002,190.2
23617.5,190.6
23641.9,190.8
23666.100000000002,190.8
23693.4,190.6
23718.0,190.6
23744.0,190.6
23765.7,190.4
23793.5,190.4
23816.4,190.4
23840.4,190.0
23866.100000000002,189.6
23893.3,189.2
23921.9,188.8
23944.100000000002,188.6
23966.9,188.2
23997.600000000002,187.8
24021.0,187.6
24044.8,187.0
24069.3,186.4
24094.5,186.0
24120.2,185.4
24145.9,185.2
24171.2,184.8
24196.2,184.6
24220.8,184.4
24245.4,184.0
24270.4,183.4
24296.100000000002,182.8
24322.7,182.2
24350.4,181.4
24369.7,180.6
24399.5,179.8
24419.9,179.2
24450.5,178.4
24471.3,178.0
24491.9,177.4
24522.7,176.8
24543.100000000002,176.4
24573.5,175.6
24594.0,175.2
24625.2,174.2
24646.4,173.6
24667.600000000002,173.0
24699.9,172.2
24721.100000000002,171.8
24752.7,171.4
24772.8,171.6
24801.2,171.4
24819.9,171.0
24849.0,170.0
24869.2,169.4
24899.4,169.0
24928.3,169.0
24946.7,169.0
24973.2,169.0
24998.4,169.0
25022.4,169.2
25052.600000000002,169.0
25075.4,168.6
25099.600000000002,167.8
